,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Team Secret,Team Secret,164,107,57,65.24%,94,70,27.83,23.23,62.64,2202,2435,862,49,37:03:00,34:57:00,40:59:00,0
Vici Gaming,Vici Gaming,158,96,62,60.76%,72,86,28.01,23.82,63.01,2166,2467,892,48,37:42:00,36:43:00,39:14:00,0
Virtus.pro,Virtus.pro,152,101,51,66.45%,79,73,29.66,24,62.49,2198,2444,867,58,36:47:00,36:00:00,38:20:00,0
PSG.LGD,PSG.LGD,145,97,48,66.90%,68,77,29.21,25.35,60.82,2251,2533,920,47,37:21:00,36:34:00,38:57:00,0
Evil Geniuses,Evil Geniuses,142,90,52,63.38%,75,67,28.96,26.94,61.72,2207,2424,879,53,38:06:00,36:04:00,41:35:00,0
Fnatic,Fnatic,129,78,51,60.47%,62,67,28.06,23.89,62.15,2177,2437,932,45,39:40:00,38:55:00,40:49:00,0
TNC Predator,TNC Predator,128,73,55,57.03%,60,68,26.69,25.7,62.16,2204,2425,951,45,39:50:00,39:26:00,40:21:00,-00:54
Team. Spirit,Team. Spirit,108,56,52,51.85%,48,60,27.97,25.71,63.4,2074,2302,863,40,38:56:00,38:35:00,39:19:00,-00:43
compLexity Gaming,compLexity Gaming,106,58,48,54.72%,42,64,27.11,24.27,57.82,2149,2420,949,51,39:07:00,38:25:00,39:57:00,0
Newbee,Newbee,103,48,55,46.60%,44,59,26.13,26.26,60.81,2090,2347,923,43,39:15:00,41:21:00,37:25:00,3:55
Alliance,Alliance,103,50,53,48.54%,37,66,27.99,27.57,58.43,2148,2402,913,46,39:12:00,39:07:00,39:16:00,-00:08
EHOME,EHOME,102,58,44,56.86%,51,51,24.78,21.98,53.83,2143,2447,858,49,34:51:00,33:55:00,36:05:00,#VALUE!
paiN Gaming,paiN Gaming,102,55,47,53.92%,53,49,26.83,29.56,56.51,2198,2438,866,46,36:43:00,35:33:00,38:05:00,0
OG,OG,101,62,39,61.39%,52,49,26.21,28.44,55.85,2149,2360,787,45,35:00:00,34:59:00,35:03:00,-00:04
Gambit Esports,Gambit Esports,97,55,42,56.70%,68,29,25.47,25.35,57.67,2217,2412,917,43,38:34:00,37:47:00,39:35:00,0
Mineski,Mineski,97,41,56,42.27%,58,39,25.67,28.46,58.27,2135,2355,941,46,39:59:00,40:45:00,39:25:00,1:20
Team Liquid,Team Liquid,96,65,31,67.71%,54,42,29.74,26.06,61.01,2239,2463,817,43,35:19:00,34:03:00,37:57:00,0
Team Aster,Team Aster,88,52,36,59.09%,35,53,25.89,23.94,57.97,2125,2441,945,43,38:48:00,39:32:00,37:44:00,1:48
The Final Tribe,The Final Tribe,86,31,55,36.05%,45,41,22.73,25.67,49.38,2073,2291,932,42,39:00:00,36:46:00,40:16:00,0
VGJ Storm,VGJ Storm,84,53,31,63.10%,53,31,28.5,25.21,62.5,2243,2514,933,52,38:12:00,36:36:00,40:56:00,#VALUE!
Espada,Espada,81,42,39,51.85%,31,50,28.47,30.25,64.09,2128,2368,925,50,41:25:00,41:08:00,41:44:00,-00:35
Ninjas in Pyjamas,Ninjas in Pyjamas,80,44,36,55.00%,48,32,25.56,23.82,53.46,2147,2337,870,52,37:33:00,37:30:00,37:36:00,-00:05
OpTic Gaming,OpTic Gaming,80,43,37,53.75%,37,43,25.65,28.07,54.05,2071,2310,855,52,38:20:00,38:07:00,38:34:00,-00:26
Natus Vincere,Natus Vincere,77,40,37,51.95%,47,30,26.56,26.18,60.78,2062,2308,816,43,39:01:00,38:12:00,39:53:00,0
INVICTUS GAMING,INVICTUS GAMING,76,33,43,43.42%,29,47,24.32,24.72,55.36,2104,2387,950,46,38:40:00,39:53:00,37:45:00,2:07
Newbee,Newbee,75,40,35,53.33%,48,27,26.13,25.07,59.76,2120,2351,868,46,37:00:00,36:55:00,37:06:00,-00:10
Tigers,Tigers,73,38,35,52.05%,44,29,27.74,28.9,59.37,2173,2402,967,45,39:37:00,38:55:00,40:22:00,#VALUE!
KEEN GAMING,KEEN GAMING,72,33,39,45.83%,38,34,27.28,24.94,60.82,2086,2298,768,47,35:28:00,34:35:00,36:13:00,0
Team Serenity,Team Serenity,71,36,35,50.70%,38,33,26.18,27.94,55.65,2073,2382,862,50,36:41:00,36:47:00,36:34:00,0:13
Vega Squadron,Vega Squadron,70,22,48,31.43%,25,45,24.06,30.79,53.61,2035,2259,875,42,38:05:00,43:22:00,35:40:00,7:41
Team Empire,Team Empire,64,27,37,42.19%,25,39,23.97,26.28,50.88,2057,2250,868,55,38:03:00,37:17:00,38:37:00,#VALUE!
Infamous Gaming,Infamous Gaming,64,29,35,45.31%,32,32,26.95,27.98,54.8,2116,2353,867,42,37:48:00,40:06:00,35:53:00,4:13
