,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
J.Storm,J.Storm,62,33,29,53.23%,36,26,26.84,26.92,59.95,2132,2333,868,45,38:16:00,38:32:00,37:58:00,0:33
Royal Never Give Up,Royal Never Give Up,61,30,31,49.18%,34,27,25.34,27,56,2080,2337,896,50,38:46:00,41:27:00,36:09:00,5:18
Lotac,Lotac,61,30,31,49.18%,30,31,28.69,25.75,61.95,2165,2461,961,43,40:27:00,41:44:00,39:12:00,2:31
TEAM TEAM,TEAM TEAM,53,24,29,45.28%,26,27,25.04,26.55,53.06,2125,2345,867,44,37:08:00,36:55:00,37:19:00,-00:24
Thunder Predator,Thunder Predator,52,29,23,55.77%,30,22,26.85,24.81,55.85,2130,2314,840,45,37:45:00,38:16:00,37:05:00,1:10
paiN X,paiN X,48,26,22,54.17%,30,18,23.73,21.77,47.81,2084,2337,838,52,35:40:00,32:59:00,38:51:00,0
Winstrike,Winstrike,47,25,22,53.19%,26,21,25.45,27.66,56.13,2078,2277,850,50,37:28:00,36:52:00,38:10:00,#VALUE!
Admiral Dota,Admiral Dota,47,23,24,48.94%,14,33,29.51,30.72,60.83,2196,2525,981,47,40:24:00,42:29:00,38:24:00,4:05
BOOM ID,BOOM ID,43,17,26,39.53%,18,25,24.53,28.91,52.21,2110,2384,876,47,37:20:00,38:00:00,36:54:00,1:06
The Pango,The Pango,40,24,16,60.00%,23,17,26.43,24.88,60.62,2094,2268,784,48,36:23:00,35:37:00,37:34:00,0
Team Lithium,Team Lithium,36,14,22,38.89%,15,21,28.25,33.89,63.83,2057,2341,926,42,41:31:00,45:37:00,38:54:00,6:42
Team EVOS,Team EVOS,35,14,21,40.00%,14,21,27.26,33.66,60.31,2081,2438,874,55,38:49:00,40:26:00,37:45:00,2:41
Braxstone|,Braxstone|,35,18,17,51.43%,18,17,26.71,26.69,54.97,2139,2352,732,46,33:26:00,30:05:00,36:58:00,0
Clutch Gamers,Clutch Gamers,34,18,16,52.94%,23,11,32.24,28.41,69.82,2133,2464,830,39,37:48:00,35:12:00,40:45:00,#VALUE!
Wind and Rain,Wind and Rain,34,21,13,61.76%,20,14,29.85,23.91,60.71,2133,2405,830,56,36:47:00,37:02:00,36:24:00,0:37
iG.Vitality,iG.Vitality,34,10,24,29.41%,15,19,21.24,28.85,46.06,2026,2193,867,42,37:23:00,38:50:00,36:47:00,2:03
Sterling Global Dragons,Sterling Global Dragons,32,10,22,31.25%,15,17,24.62,33.62,52.88,2029,2260,901,39,39:41:00,43:33:00,37:55:00,5:37
Elements Pro Gaming,Elements Pro Gaming,29,13,16,44.83%,21,8,26.62,26.59,58.72,2021,2259,714,50,35:06:00,35:19:00,34:55:00,0:23
Team Root,Team Root,29,13,16,44.83%,15,14,19.38,23.9,44.59,2103,2270,859,48,34:52:00,34:11:00,35:25:00,#VALUE!
VGJ Thunder,VGJ Thunder,28,11,17,39.29%,11,17,28.18,27.04,62.71,2096,2409,891,30,38:56:00,35:24:00,41:12:00,#VALUE!
CDEC,CDEC,28,10,18,35.71%,13,15,24.43,24.93,56.57,2072,2308,882,42,36:03:00,36:33:00,35:47:00,0:45
KG.Luminous,KG.Luminous,26,13,13,50.00%,9,17,21.38,22.85,50.08,2001,2205,735,39,32:41:00,38:46:00,26:37:00,12:09
YOSHIMOTO.DETONATOR,YOSHIMOTO.DETONATOR,25,12,13,48.00%,11,14,27.52,30.44,59.12,2099,2398,803,38,36:26:00,36:02:00,36:48:00,-00:45
Winstrike Team,Winstrike Team,25,11,14,44.00%,10,15,23.88,26.12,49.44,2130,2301,797,48,33:56:00,30:21:00,36:45:00,#VALUE!
Ødium,Ødium,24,11,13,45.83%,11,13,26.12,26,55.79,2036,2332,906,43,38:41:00,34:14:00,42:27:00,#VALUE!
Team Empire Hope,Team Empire Hope,24,12,12,50.00%,6,18,23.5,26.08,49.17,2097,2352,834,53,35:47:00,36:03:00,35:31:00,0:32
Execration.安博电竞,Execration.安博电竞,23,5,18,21.74%,9,14,29.57,36.09,60.78,2142,2494,1007,47,43:09:00,47:15:00,42:00:00,5:14
ForTheDream,ForTheDream,23,13,10,56.52%,13,10,22.09,21.39,49.96,2173,2343,879,50,35:20:00,31:57:00,39:43:00,#VALUE!
Newbee.Young,Newbee.Young,22,9,13,40.91%,11,11,23.68,25.86,50.64,2013,2262,829,44,35:48:00,38:35:00,33:53:00,4:42
Infamous,Infamous,21,1,20,4.76%,11,10,16.9,33,31.52,1852,2080,783,42,35:20:00,42:17:00,35:00:00,7:16
LGD.Forever Young,LGD.Forever Young,21,10,11,47.62%,8,13,27.81,28.95,67,2017,2354,934,46,42:57:00,43:33:00,42:25:00,1:07
Double Dimension,Double Dimension,20,9,11,45.00%,12,8,24.3,28.65,54.25,1948,2212,803,46,37:04:00,44:56:00,30:37:00,14:19
SG e-sports team,SG e-sports team,20,12,8,60.00%,5,15,28.1,25.05,63.75,2154,2390,939,44,41:19:00,41:13:00,41:29:00,-00:16
Flying Penguins,Flying Penguins,19,10,9,52.63%,11,8,23.37,22.32,50.53,2243,2393,947,43,37:01:00,35:35:00,38:37:00,#VALUE!
Eclipse,Eclipse,19,9,10,47.37%,11,8,24.42,27,53.05,2117,2377,919,43,39:27:00,40:05:00,38:52:00,1:13
,,19,9,10,47.37%,13,6,28.58,27.32,63.42,2137,2375,932,46,42:19:00,39:02:00,45:15:00,#VALUE!
Team Xolotl,Team Xolotl,18,5,13,27.78%,11,7,24.56,29.61,51.5,1913,2185,800,48,38:12:00,33:20:00,40:05:00,#VALUE!
DeathBringer Gaming,DeathBringer Gaming,18,7,11,38.89%,8,10,21.39,22,47.11,1896,2136,652,35,31:33:00,35:07:00,29:17:00,5:49
Playmakers,Playmakers,18,9,9,50.00%,8,10,21.94,24.61,44.17,1992,2143,670,37,30:42:00,31:29:00,29:55:00,1:34
Hippomaniacs,Hippomaniacs,16,2,14,12.50%,9,7,19.81,33.69,43.5,1841,2091,718,43,35:21:00,46:03:00,33:49:00,12:13
MangoBay,MangoBay,16,5,11,31.25%,7,9,24.94,34.5,52.25,1954,2285,799,40,35:53:00,37:30:00,35:09:00,2:21
Infamous Young,Infamous Young,15,3,12,20.00%,7,8,18.67,31.27,41.6,1928,2084,834,37,36:56:00,45:35:00,34:46:00,10:48
TNC Tigers,TNC Tigers,15,8,7,53.33%,9,6,21.93,23.8,47.47,2144,2280,926,42,39:24:00,34:12:00,45:20:00,#VALUE!
Immortals,Immortals,15,5,10,33.33%,6,9,25.4,24.53,52.67,1900,2264,860,39,37:38:00,46:57:00,32:59:00,13:57
Let's Do It,Let's Do It,15,5,10,33.33%,7,8,29.87,33.47,59.4,2132,2487,1058,35,43:31:00,41:45:00,44:25:00,#VALUE!
Marchoutofarmy,Marchoutofarmy,15,9,6,60.00%,5,10,35.4,30.27,81.33,2186,2533,936,48,42:47:00,43:02:00,42:25:00,0:36
New Guys,New Guys,15,11,4,73.33%,10,5,29.2,25.6,63.47,2209,2478,1038,36,41:29:00,43:52:00,34:57:00,8:54
WarriorsGaming.Unity,WarriorsGaming.Unity,15,4,11,26.67%,5,10,21.07,31,41.67,2003,2200,837,54,35:20:00,36:05:00,35:04:00,1:01
BlinkPool,BlinkPool,14,8,6,57.14%,9,5,21.79,25.64,45.36,2138,2353,997,50,39:08:00,39:49:00,38:15:00,1:33
Nemiga Gaming,Nemiga Gaming,14,4,10,28.57%,5,9,23.21,30.79,47.07,1954,2200,731,42,33:30:00,38:01:00,31:42:00,6:18
20 min afk les,20 min afk les,14,5,9,35.71%,5,9,27.57,29.21,63.93,1964,2182,775,41,41:02:00,44:04:00,39:20:00,4:44
GangSquad,GangSquad,14,8,6,57.14%,3,11,31.86,30.14,69.36,2007,2460,780,32,37:54:00,40:23:00,34:35:00,5:48
Entity Gaming,Entity Gaming,14,5,9,35.71%,9,5,26.5,26.86,55.29,2087,2313,834,49,36:22:00,34:42:00,37:18:00,#VALUE!
Wheel Whreck While Whistling,Wheel Whreck While Whistling,14,3,11,21.43%,7,7,20.57,31.5,40.43,1775,2034,641,33,32:16:00,30:44:00,32:41:00,#VALUE!
Team Singularity,Team Singularity,13,4,9,30.77%,6,7,26.69,34.15,58.92,1926,2294,844,43,40:31:00,45:05:00,38:30:00,6:35
WP Gaming,WP Gaming,13,6,7,46.15%,6,7,23.92,30,52.54,1999,2211,766,35,34:56:00,39:41:00,30:53:00,8:48
Vendetta,Vendetta,13,5,8,38.46%,10,3,23.62,28.54,49.15,1927,2093,608,39,32:42:00,35:55:00,30:42:00,5:12
ROOONS,ROOONS,13,8,5,61.54%,10,3,26.15,26.08,58.62,2075,2361,734,34,33:56:00,35:57:00,30:44:00,5:13
Team Waooo,Team Waooo,12,5,7,41.67%,5,7,25.42,30,57.42,2119,2293,836,45,37:44:00,33:16:00,40:55:00,#VALUE!
Taichi Gaming,Taichi Gaming,11,0,11,0.00%,6,5,11.91,32,20.55,1558,1665,417,42,24:15:00,-,24:15:00,-
LeftOneTV,LeftOneTV,11,6,5,54.55%,8,3,32.09,30,68.55,2157,2529,926,57,41:46:00,41:12:00,42:26:00,#VALUE!
Plus Ultra!!!,Plus Ultra!!!,10,4,6,40.00%,4,6,17.2,23.5,38.4,1958,2141,684,34,31:21:00,37:36:00,27:12:00,10:23
Team Kinguin,Team Kinguin,10,3,7,30.00%,0,10,29.2,32.4,65.2,2055,2354,1024,38,44:23:00,55:59:00,39:24:00,16:34
SkrSkr,SkrSkr,10,3,7,30.00%,5,5,27.3,35.2,58.5,2043,2400,981,48,42:18:00,52:25:00,37:59:00,14:26
Torus Gaming,Torus Gaming,10,2,8,20.00%,6,4,22,27.6,49.3,1822,1981,716,40,38:49:00,42:39:00,37:52:00,4:46
Gorillaz-Pride,Gorillaz-Pride,9,1,8,11.11%,4,5,22,31.78,45.11,1991,2172,791,43,35:43:00,24:39:00,37:06:00,#VALUE!
Chaos Esports Club,Chaos Esports Club,9,3,6,33.33%,2,7,12.22,24.33,27.89,1926,1894,570,39,26:50:00,28:38:00,25:56:00,2:42
No Bounty Hunter,No Bounty Hunter,9,4,5,44.44%,8,1,32.56,40.78,75.11,2116,2542,1001,45,43:40:00,44:24:00,43:05:00,1:19
madjor atendari,madjor atendari,9,1,8,11.11%,6,3,23.56,34.11,49.22,1735,2201,756,40,38:04:00,49:01:00,36:42:00,12:18
Black Sheep!,Black Sheep!,9,3,6,33.33%,5,4,28.89,39,57.44,2099,2405,944,30,42:46:00,44:59:00,41:39:00,3:19
Team Max,Team Max,8,3,5,37.50%,2,6,25.62,27.38,52.75,1975,2213,643,39,31:11:00,29:38:00,32:07:00,#VALUE!
StarLuck.S,StarLuck.S,8,2,6,25.00%,3,5,21.25,25.12,42.5,1833,2149,684,34,33:18:00,36:32:00,32:13:00,4:18
TEAM Baidu.亿鼎博,TEAM Baidu.亿鼎博,8,2,6,25.00%,5,3,21.75,34.75,55.12,1963,2263,1034,35,44:28:00,45:34:00,44:06:00,1:28
PAVAGA,PAVAGA,8,3,5,37.50%,5,3,23.88,26.38,57.5,1910,2192,646,51,32:51:00,39:09:00,29:04:00,10:05
You Know Who,You Know Who,8,4,4,50.00%,8,0,27.75,26.62,66.38,1940,2371,944,45,43:44:00,47:31:00,39:58:00,7:33
FGB,FGB,8,4,4,50.00%,5,3,21.25,20.88,42.88,2002,2246,659,48,28:16:00,32:40:00,23:53,8:46
Team Leviathan,Team Leviathan,7,1,6,14.29%,4,3,21.29,38,44.43,1798,2015,820,27,38:36:00,1:06:05,34:01:00,32:03:00
Battle Arena Elites,Battle Arena Elites,7,3,4,42.86%,5,2,24.86,28.57,58.57,1980,2336,812,47,38:26:00,43:17:00,34:47:00,8:29
jsut a squad,jsut a squad,7,1,6,14.29%,3,4,16.71,34.43,33.71,1716,1949,681,42,32:23:00,45:14:00,30:14:00,14:59
Marlerino eSports,Marlerino eSports,7,1,6,14.29%,2,5,23.29,29.14,52.57,1887,2078,837,32,38:33:00,52:29:00,36:14:00,16:14
ROOONS,ROOONS,7,0,7,0.00%,5,2,17.71,29.86,39.14,1898,2017,823,43,36:37:00,-,36:37:00,-
2Be.Dota2,2Be.Dota2,7,2,5,28.57%,1,6,19.86,26.43,42.71,1861,2069,725,34,34:07:00,40:00:00,31:47:00,8:13
Team Ever,Team Ever,7,3,4,42.86%,4,3,24,24,52.57,2088,2362,878,37,38:12:00,33:48:00,41:30:00,#VALUE!
Young Dumb,Young Dumb,7,3,4,42.86%,3,4,21.14,29,54.43,1909,2237,894,44,38:23:00,45:43:00,32:52:00,12:50
HAPPY GUYS,HAPPY GUYS,6,2,4,33.33%,6,0,21.67,35.5,45.67,2040,2397,978,28,40:57:00,43:26:00,39:42:00,3:44
Kingdra,Kingdra,6,1,5,16.67%,2,4,17.33,24.83,34.5,1772,1980,616,45,32:23:00,35:45:00,31:43:00,4:01
ROOONS,ROOONS,6,1,5,16.67%,2,4,18.17,33.17,31.83,1856,2030,653,30,30:35:00,33:43:00,29:57:00,3:45
496 Gaming,496 Gaming,6,2,4,33.33%,2,4,25.67,37,58.33,2033,2235,869,36,39:51:00,47:11:00,36:11:00,10:59
Gambit Esports,Gambit Esports,6,2,4,33.33%,2,4,26.67,34.17,68.33,2067,2192,987,44,47:00:00,48:57:00,46:02:00,2:55
No Creativity,No Creativity,6,2,4,33.33%,3,3,23.17,28.67,48.5,2119,2268,1001,53,41:38:00,43:45:00,40:34:00,3:10
FCDB Esports,FCDB Esports,5,2,3,40.00%,1,4,32.6,39,61.8,2133,2344,1051,50,45:59:00,1:01:05,35:56:00,25:09:00
MEGA-LADA E-sports,MEGA-LADA E-sports,5,1,4,20.00%,2,3,33.6,34,76.8,2045,2357,884,43,43:09:00,38:52:00,44:14:00,#VALUE!
EHOME.immortal,EHOME.immortal,5,1,4,20.00%,3,2,23.2,35.2,54.4,1952,2158,1007,50,43:34:00,32:34:00,46:19:00,#VALUE!
Kaipi,Kaipi,5,1,4,20.00%,3,2,16.8,32.2,39.8,1823,1937,548,50,27:49:00,28:02:00,27:46:00,0:16
Sunga Club,Sunga Club,5,0,5,0.00%,3,2,30.4,42.2,64.4,1939,2326,941,46,45:31:00,-,45:31:00,-
16 anos melhor idade,16 anos melhor idade,5,1,4,20.00%,2,3,30.2,32,69.6,2272,2489,1327,32,47:39:00,1:05:41,43:09:00,22:31
LiveJasmine,LiveJasmine,5,2,3,40.00%,2,3,25.4,32.2,56.8,2018,2220,873,38,36:04:00,49:02:00,27:25:00,21:37
Unchained Esports,Unchained Esports,5,2,3,40.00%,4,1,21.8,30.2,44.2,1959,2303,672,30,31:22:00,34:19:00,29:25:00,4:54
Anime11.Esports,Anime11.Esports,4,0,4,0.00%,3,1,11.25,29,19.75,1559,1655,420,50,22:03,-,22:03,-
Room310,Room310,4,2,2,50.00%,0,4,21.5,21.25,54,1978,2216,675,66,32:19:00,28:18:00,36:21:00,#VALUE!
Helsinki REDS,Helsinki REDS,4,0,4,0.00%,3,1,16.25,30.75,25,1734,1933,498,32,25:55:00,-,25:55:00,-
YOSHIMOTO DETONATOR,YOSHIMOTO DETONATOR,4,3,1,75.00%,2,2,38.25,33.75,86.75,2289,2730,1021,30,42:23:00,46:55:00,28:47:00,18:08
Aurora Esports club,Aurora Esports club,4,0,4,0.00%,1,3,14.5,24.75,32.25,1748,1748,470,28,25:52:00,-,25:52:00,-
Underdogs,Underdogs,4,2,2,50.00%,3,1,27.25,22.5,61.5,1920,2324,722,38,33:55:00,41:57:00,25:54:00,16:03
MAD KINGS -E-SPORTS,MAD KINGS -E-SPORTS,4,0,4,0.00%,1,3,15.75,29.5,30.5,1797,1968,585,28,28:25:00,-,28:25:00,-
Zugzwang,Zugzwang,4,0,4,0.00%,2,2,13.25,34.5,27.25,1689,1699,509,43,27:09:00,-,27:09:00,-
borster,borster,4,0,4,0.00%,2,2,13.5,36.25,26,1550,1640,396,21,23:15,-,23:15,-
MAX.Y,MAX.Y,3,2,1,66.67%,2,1,26.67,28.67,63.33,2055,2460,618,31,31:30:00,28:16:00,38:00:00,#VALUE!
ASTINI 777,ASTINI 777,3,0,3,0.00%,3,0,14,30,32.67,1540,1712,450,29,26:29:00,-,26:29:00,-
ACT,ACT,3,1,2,33.33%,1,2,21.33,29.67,42.33,2053,2256,1166,46,42:18:00,37:33:00,44:40:00,0
Winning Gaming,Winning Gaming,3,1,2,33.33%,1,2,25.33,25.33,46.33,2008,2354,597,45,29:33:00,31:18:00,28:40:00,2:37
Midas Club,Midas Club,3,1,2,33.33%,1,2,23.33,26.33,49,1884,2040,725,47,35:28:00,42:54:00,31:45:00,11:08
OlympicTopStar,OlympicTopStar,3,0,3,0.00%,2,1,13.33,38,29,1487,1682,382,35,23:19,-,23:19,-
Team Russia,Team Russia,3,3,0,100.00%,2,1,30,17.67,63,2157,2427,638,85,29:53:00,29:53:00,-,-
Team HighGround,Team HighGround,2,0,2,0.00%,1,1,11.5,23.5,25,1686,1714,498,58,25:53:00,-,25:53:00,-
Signify,Signify,2,0,2,0.00%,1,1,15.5,34.5,26.5,1716,1996,778,42,32:18:00,-,32:18:00,-
Team Freedom Dota 2,Team Freedom Dota 2,2,2,0,100.00%,1,1,37,20,67.5,2402,2888,826,38,35:05:00,35:05:00,-,-
Alpha Pro,Alpha Pro,2,0,2,0.00%,2,0,5,31,10,1194,1183,188,22,14:54,-,14:54,-
PG.Barracx,PG.Barracx,2,0,2,0.00%,1,1,20.5,32.5,39.5,1929,2080,1125,31,42:17:00,-,42:17:00,-
WU TANG,WU TANG,2,0,2,0.00%,0,2,45,41.5,83,2216,2738,1148,54,54:44:00,-,54:44:00,-
Go PRO,Go PRO,2,0,2,0.00%,1,1,14,31,24,1484,1572,444,37,29:06:00,-,29:06:00,-
URUK-HIGH,URUK-HIGH,2,0,2,0.00%,1,1,19,34.5,35.5,1782,1835,519,36,31:42:00,-,31:42:00,-
0-900,0-900,2,2,0,100.00%,0,2,40.5,33,85.5,2440,2967,1082,41,45:15:00,45:15:00,-,-
URSAL,URSAL,2,0,2,0.00%,1,1,25,35,55,1996,2256,904,30,43:56:00,-,43:56:00,-
We Are Team Eagles,We Are Team Eagles,2,0,2,0.00%,1,1,18.5,37,44.5,1882,2228,710,38,35:05:00,-,35:05:00,-
Se7en Esports,Se7en Esports,2,0,2,0.00%,1,1,9.5,37.5,16,1370,1454,374,37,25:38:00,-,25:38:00,-
TPB,TPB,2,0,2,0.00%,1,1,15.5,28,28.5,1694,1794,660,40,35:58:00,-,35:58:00,-
ROOONS,ROOONS,2,1,1,50.00%,1,1,18,26.5,46,2112,2254,932,38,37:51:00,46:15:00,29:27:00,16:48
Newbee.mgb,Newbee.mgb,1,0,1,0.00%,0,1,9,34,27,1582,1736,551,42,28:32:00,-,28:32:00,-
Monolith,Monolith,1,0,1,0.00%,0,1,5,25,10,1650,1576,429,50,20:48,-,20:48,-
IamPoint Club,IamPoint Club,1,0,1,0.00%,0,1,13,27,25,1669,1842,609,33,27:26:00,-,27:26:00,-
Jay Is G,Jay Is G,1,0,1,0.00%,1,0,35,42,107,2377,2437,1553,26,1:01:30,-,1:01:30,-
Midas Club,Midas Club,1,0,1,0.00%,0,1,9,25,16,1659,1747,633,27,32:10:00,-,32:10:00,-
DUY,DUY,1,0,1,0.00%,0,1,25,41,40,1972,2285,784,25,36:35:00,-,36:35:00,-
