,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Newbee,Newbee,289,173,116,59.86%,140,149,25.46,23.5,59.84,2091,2373,899,45,38:42:00,38:44:00,38:40:00,0:03
PSG.LGD,PSG.LGD,272,152,120,55.88%,175,97,25.16,25.15,55.38,2059,2346,865,41,38:11:00,36:06:00,40:50:00,#VALUE!
Vici Gaming,Vici Gaming,257,148,109,57.59%,72,185,26.65,23.75,61.21,2058,2381,867,44,38:39:00,37:35:00,40:07:00,0
Team Empire,Team Empire,245,138,107,56.33%,136,109,27.26,25.85,61.19,2129,2368,969,43,41:17:00,41:54:00,40:29:00,1:25
TNC Predator,TNC Predator,240,131,109,54.58%,127,113,25.28,24.89,58.85,2080,2346,935,37,40:52:00,41:19:00,40:20:00,0:59
compLexity Gaming,compLexity Gaming,239,129,110,53.97%,107,132,22.88,23.09,51.69,2021,2255,813,44,37:11:00,36:02:00,38:31:00,0
Team Secret,Team Secret,229,150,79,65.50%,154,75,25.74,21.22,61.01,2106,2391,899,40,38:57:00,38:06:00,40:35:00,0
OG,OG,229,146,83,63.76%,94,135,26.37,24.18,60.49,2117,2359,861,42,38:57:00,37:45:00,41:05:00,0
Fnatic,Fnatic,228,128,100,56.14%,92,136,25.07,23.27,56.73,2074,2356,858,47,37:57:00,38:11:00,37:39:00,0:31
LGD.Forever Young,LGD.Forever Young,226,133,93,58.85%,128,98,25.62,22.02,59.57,1995,2285,796,45,37:53:00,39:29:00,35:36:00,3:53
Mineski,Mineski,221,134,87,60.63%,94,127,25.94,22.38,58.73,2135,2390,889,45,39:14:00,38:10:00,40:53:00,0
Team Liquid,Team Liquid,211,148,63,70.14%,101,110,26.81,24.42,60.12,2126,2324,822,41,37:25:00,35:34:00,41:46:00,#VALUE!
Evil Geniuses,Evil Geniuses,204,129,75,63.24%,106,98,23.84,20.48,55.13,2097,2322,862,45,37:13:00,35:01:00,41:01:00,0
Vega Squadron,Vega Squadron,202,103,99,50.99%,91,111,24.62,26.09,56.29,2055,2317,906,40,39:29:00,39:24:00,39:33:00,-00:08
Natus Vincere,Natus Vincere,198,99,99,50.00%,118,80,24.06,26.47,53.28,2026,2276,883,52,39:31:00,39:44:00,39:18:00,0:26
Virtus.pro,Virtus.pro,197,130,67,65.99%,110,87,26.11,21.63,58.73,2171,2402,907,53,38:32:00,37:16:00,40:59:00,0
INVICTUS GAMING,INVICTUS GAMING,185,96,89,51.89%,90,95,23.28,22.84,56.29,2035,2325,869,45,38:20:00,39:07:00,37:30:00,1:37
SG e-sports team,SG e-sports team,185,108,77,58.38%,81,104,25.28,23.63,55.7,2108,2335,896,42,38:33:00,39:06:00,37:48:00,1:17
Team Kinguin,Team Kinguin,164,90,74,54.88%,57,107,24.37,26.49,55.63,2085,2344,872,43,37:58:00,35:57:00,40:26:00,0
VGJ Thunder,VGJ Thunder,161,101,60,62.73%,52,109,24.73,21.84,58.01,2103,2384,825,31,36:28:00,35:11:00,38:38:00,0
OpTic Gaming,OpTic Gaming,158,93,65,58.86%,78,80,23.98,22.56,52.68,2060,2287,810,38,37:05:00,36:14:00,38:17:00,-0.002083333
Digital Chaos,Digital Chaos,152,81,71,53.29%,63,89,23.75,21.38,56.57,1996,2272,889,31,39:31:00,39:44:00,39:15:00,0:28
Execration.????,Execration.????,149,64,85,42.95%,100,49,24.47,29.62,52.91,2067,2347,941,45,40:48:00,42:22:00,39:37:00,2:45
Team. Spirit,Team. Spirit,136,68,68,50.00%,49,87,26.7,25.22,62.03,2049,2322,824,47,38:04:00,34:45:00,41:24:00,0
mousesports,mousesports,129,56,73,43.41%,68,61,25.78,28.42,58.96,1994,2283,835,40,39:26:00,39:33:00,39:21:00,0:11
