,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
EHOME,EHOME,124,66,58,53.23%,57,67,24.99,22.65,55.47,2059,2327,807,50,36:18:00,35:18:00,37:26:00,#VALUE!
GangSquad,GangSquad,120,51,69,42.50%,66,54,24.26,27.58,55.87,2000,2240,772,34,37:12:00,36:01:00,38:04:00,#VALUE!
KEEN GAMING,KEEN GAMING,117,64,53,54.70%,68,49,27.61,24.87,61.01,2042,2287,820,48,38:37:00,36:50:00,40:47:00,0
Infamous,Infamous,111,52,59,46.85%,68,43,24.36,27.3,50.26,2096,2356,784,38,35:16:00,33:18:00,36:59:00,0
iG.Vitality,iG.Vitality,111,40,71,36.04%,71,40,22.2,27.26,52.07,1910,2144,850,35,39:16:00,42:54:00,37:14:00,5:40
Infamous Gaming,Infamous Gaming,107,58,49,54.21%,52,55,25.43,24.87,57.22,2043,2299,874,46,38:26:00,38:08:00,38:47:00,-00:39
Clutch Gamers,Clutch Gamers,102,47,55,46.08%,41,61,23.92,26.07,54.87,2030,2260,860,39,39:00:00,37:59:00,39:52:00,0
Immortals,Immortals,100,50,50,50.00%,64,36,23.46,25.56,54.72,2013,2265,771,40,36:16:00,36:37:00,35:54:00,0:43
VGJ.Storm,VGJ.Storm,95,42,53,44.21%,62,33,21.69,25.06,48.88,1954,2232,786,36,35:30:00,36:49:00,34:28:00,2:21
Effect,Effect,94,47,47,50.00%,52,42,25.9,27.17,61.2,2000,2368,857,42,39:05:00,40:50:00,37:19:00,3:31
w33ha earthspirit,w33ha earthspirit,94,53,41,56.38%,43,51,24.71,24.35,55.78,2136,2355,939,37,40:11:00,37:50:00,43:12:00,#VALUE!
paiN Gaming,paiN Gaming,92,58,34,63.04%,40,52,27.43,24.01,60.96,2203,2495,849,40,36:10:00,34:50:00,38:27:00,#VALUE!
Eclipse,Eclipse,92,55,37,59.78%,41,51,25.89,24.7,61.96,2020,2380,855,51,38:43:00,38:31:00,39:01:00,-00:29
Newbee.Young,Newbee.Young,91,50,41,54.95%,38,53,24.52,24.92,52.92,2016,2264,750,44,34:39:00,33:14:00,36:23:00,#VALUE!
Sacred,Sacred,90,46,44,51.11%,49,41,25.22,25.58,55.89,2046,2294,821,44,37:19:00,37:28:00,37:09:00,0:18
Gambit Esports,Gambit Esports,84,31,53,36.90%,36,48,20.76,25.56,48.26,1989,2266,844,50,37:19:00,34:58:00,38:42:00,0
CDEC,CDEC,84,43,41,51.19%,50,34,24.08,23.4,55.07,2043,2274,874,50,38:55:00,39:23:00,38:26:00,0:57
HellRaisers,HellRaisers,83,38,45,45.78%,48,35,26.22,27.05,57.72,1965,2219,866,45,39:59:00,40:17:00,39:44:00,0:32
Team Max,Team Max,81,46,35,56.79%,33,48,24.75,23.86,56.69,2008,2239,767,40,36:03:00,36:31:00,35:27:00,1:04
Happy Feet,Happy Feet,77,33,44,42.86%,42,35,24.95,28.16,55.44,2047,2337,890,40,39:37:00,39:12:00,39:56:00,-00:43
RUSH B,RUSH B,74,36,38,48.65%,35,39,26.42,23.34,58.04,2026,2329,854,48,38:06:00,35:42:00,40:22:00,#VALUE!
Vici Gaming Potential,Vici Gaming Potential,73,43,30,58.90%,46,27,25.52,19.19,55.9,2050,2378,861,42,37:35:00,37:04:00,38:19:00,#VALUE!
CAVALRY,CAVALRY,71,26,45,36.62%,44,27,23.37,27.59,50.34,1956,2214,836,40,37:30:00,41:01:00,35:29:00,5:32
Geek Fam,Geek Fam,70,30,40,42.86%,41,29,25.19,29.21,59.9,2080,2363,978,42,42:45:00,42:09:00,43:11:00,#VALUE!
Team Braveheart,Team Braveheart,68,40,28,58.82%,41,27,26.43,24.53,57.24,2017,2325,785,38,37:37:00,38:03:00,37:01:00,1:01
Team NP,Team NP,67,43,24,64.18%,18,49,26.96,19.1,59.42,2099,2344,954,47,40:51:00,38:06:00,45:46:00,#VALUE!
WarriorsGaming.Unity,WarriorsGaming.Unity,66,33,33,50.00%,27,39,27.15,25.44,60.3,2072,2349,790,40,37:29:00,35:29:00,39:28:00,0
LYG.Gaming,LYG.Gaming,62,19,43,30.65%,36,26,22.94,28.18,51.61,1848,2127,722,45,35:48:00,36:12:00,35:37:00,0:35
Faceless,Faceless,61,32,29,52.46%,28,33,24.61,26.44,57.61,2086,2231,917,37,41:21:00,40:04:00,42:47:00,#VALUE!
Digital Chaos,Digital Chaos,57,27,30,47.37%,25,32,24.12,22.46,50.39,2055,2332,829,38,36:51:00,37:35:00,36:11:00,1:23
Midas Club,Midas Club,56,24,32,42.86%,17,39,24.91,27.21,52.84,2053,2304,840,38,37:21:00,34:46:00,39:17:00,#VALUE!
We.are.young,We.are.young,56,20,36,35.71%,22,34,22.68,25.84,51.75,1877,2112,748,42,36:52:00,38:08:00,36:10:00,1:58
Team VDuoBao,Team VDuoBao,55,34,21,61.82%,20,35,26.51,24,59.44,2043,2311,864,44,38:25:00,37:00:00,40:42:00,#VALUE!
KG.Luminous,KG.Luminous,53,27,26,50.94%,19,34,24.34,23.28,58.17,1946,2270,676,36,33:41:00,35:01:00,32:18:00,2:42
Team Waooo,Team Waooo,53,26,27,49.06%,31,22,23.66,30.38,54.7,2044,2311,782,47,35:48:00,36:08:00,35:30:00,0:38
M19,M19,52,22,30,42.31%,28,24,25.4,28.02,57.54,1914,2238,841,39,39:41:00,42:39:00,37:30:00,5:09
Alliance,Alliance,52,19,33,36.54%,21,31,23.23,25.73,53.85,1958,2160,905,49,41:13:00,39:03:00,42:29:00,#VALUE!
The Final Tribe,The Final Tribe,51,26,25,50.98%,21,30,28.18,24.73,63.96,2153,2439,879,44,39:02:00,37:49:00,40:17:00,#VALUE!
ForTheDream,ForTheDream,47,30,17,63.83%,10,37,30.6,27.6,67.13,2217,2531,914,55,38:35:00,36:47:00,41:46:00,#VALUE!
BOOM ID,BOOM ID,46,19,27,41.30%,18,28,25.43,26.17,56.63,2050,2382,860,51,39:14:00,35:09:00,42:07:00,#VALUE!
Mid or Feed,Mid or Feed,44,14,30,31.82%,34,10,23.39,31.16,54.18,1949,2231,815,36,38:34:00,44:20:00,35:53:00,8:27
TSHOW RISING,TSHOW RISING,44,14,30,31.82%,24,20,23.95,27.2,54.61,1987,2183,775,36,36:03:00,39:07:00,34:37:00,4:30
SFTe-SPORTS,SFTe-SPORTS,42,22,20,52.38%,25,17,31.43,32.05,70.19,1981,2370,907,39,43:42:00,41:57:00,45:37:00,#VALUE!
MAD KINGS -E-SPORTS,MAD KINGS -E-SPORTS,42,15,27,35.71%,19,23,25.4,27.9,52.1,2083,2359,890,42,38:05:00,35:24:00,39:34:00,#VALUE!
team_ftd_a,team_ftd_a,41,26,15,63.41%,18,23,24.88,25.98,54.51,2112,2305,756,52,34:47:00,34:15:00,35:43:00,#VALUE!
Team VGJ,Team VGJ,41,13,28,31.71%,19,22,22.22,26.46,51.17,1968,2213,870,45,38:52:00,44:48:00,36:07:00,8:41
BLUE PIKACHU,BLUE PIKACHU,37,9,28,24.32%,19,18,20.76,31.3,47.68,1789,2045,609,35,31:56:00,40:50:00,29:05:00,11:45
Elements Pro Gaming,Elements Pro Gaming,37,9,28,24.32%,15,22,20.35,27.68,45.62,1787,2058,727,44,36:13:00,42:47:00,34:06:00,8:41
Sun Gaming,Sun Gaming,37,20,17,54.05%,21,16,23.3,22.7,57.86,2042,2373,839,38,36:07:00,35:48:00,36:30:00,-00:42
Avalon_Club,Avalon_Club,35,18,17,51.43%,24,11,24.57,21.83,51.54,2020,2161,757,39,35:53:00,35:02:00,36:47:00,#VALUE!
ULrica-,ULrica-,35,6,29,17.14%,18,17,19.57,29.97,43.8,1843,2092,717,38,33:27:00,36:50:00,32:44:00,4:05
SC,SC,34,9,25,26.47%,19,15,21.44,27.18,48.76,1800,2089,682,38,33:11:00,36:09:00,32:07:00,4:02
Team Singularity,Team Singularity,33,11,22,33.33%,19,14,24.85,28.24,56.21,1938,2250,785,42,37:30:00,43:06:00,34:41:00,8:24
is GG,is GG,33,15,18,45.45%,19,14,21.85,20.21,50.21,1960,2157,645,32,31:21:00,32:41:00,30:14:00,2:26
Double Dimension,Double Dimension,32,12,20,37.50%,16,16,23.28,23.5,54.38,2089,2301,800,40,35:57:00,35:07:00,36:26:00,#VALUE!
Double Dimension,Double Dimension,31,9,22,29.03%,17,14,20.03,28.19,47.9,1826,2095,746,39,36:00:00,38:57:00,34:47:00,4:10
Team Singularity,Team Singularity,31,18,13,58.06%,17,14,26.71,25.87,65.52,2061,2318,779,30,37:30:00,37:10:00,37:57:00,-00:46
Luccini Gaming,Luccini Gaming,30,14,16,46.67%,15,15,23.53,24.93,50.63,2018,2266,748,40,32:55:00,32:02:00,33:41:00,#VALUE!
Team Freedom,Team Freedom,30,20,10,66.67%,20,10,28.7,22.3,66.57,2039,2347,927,42,40:53:00,41:31:00,39:37:00,1:54
SG e-sports,SG e-sports,30,10,20,33.33%,14,16,21.37,27.17,49.9,2110,2201,962,40,41:24:00,47:42:00,38:14:00,9:27
Effect,Effect,30,17,13,56.67%,20,10,22.27,22.3,54.9,2092,2256,759,49,34:39:00,34:53:00,34:21:00,0:31
tuho,tuho,29,13,16,44.83%,10,19,27.93,30.03,60.45,2004,2389,865,34,39:54:00,38:17:00,41:12:00,#VALUE!
To.be.or.not.to.be,To.be.or.not.to.be,28,10,18,35.71%,15,13,22.64,27.18,52.86,1995,2221,842,35,37:42:00,33:31:00,40:01:00,#VALUE!
Team Serenity,Team Serenity,28,12,16,42.86%,13,15,25.21,26.79,55.29,1938,2291,737,41,35:48:00,37:42:00,34:21:00,3:20
Newbee.M,Newbee.M,28,15,13,53.57%,8,20,23.14,25.14,54.93,1959,2259,741,42,35:31:00,32:08:00,39:25:00,#VALUE!
Team EVOS,Team EVOS,27,13,14,48.15%,17,10,26.19,32.93,57.93,2115,2363,896,42,39:59:00,41:07:00,38:55:00,2:12
Yuki,Yuki,26,7,19,26.92%,8,18,22.15,31.5,44.88,1825,2107,792,41,35:08:00,38:56:00,33:44:00,5:11
Immortals,Immortals,26,15,11,57.69%,11,15,26.58,26.42,59.38,1944,2280,723,31,36:07:00,37:24:00,34:22:00,3:01
White Fries Gaming,White Fries Gaming,25,9,16,36.00%,15,10,21.4,23.36,48.76,1880,2121,826,44,38:32:00,43:30:00,35:44:00,7:46
Wheel Whreck While Whistling,Wheel Whreck While Whistling,25,11,14,44.00%,17,8,21.88,25.16,49.48,1903,2165,872,44,39:46:00,38:47:00,40:33:00,#VALUE!
C5Gaming,C5Gaming,24,3,21,12.50%,15,9,15.5,29.17,35.54,1720,1882,677,35,33:47:00,39:58:00,32:54:00,7:03
Midas Club Victory,Midas Club Victory,24,6,18,25.00%,19,5,20.79,27.96,47.29,1778,2054,645,35,34:00:00,31:52:00,34:42:00,#VALUE!
Danish Bears,Danish Bears,23,11,12,47.83%,14,9,29.87,28.96,72.17,1974,2287,944,49,43:59:00,38:55:00,48:38:00,#VALUE!
Planet Dog,Planet Dog,23,15,8,65.22%,13,10,29.7,25.35,71.3,1985,2301,971,44,43:10:00,46:05:00,37:42:00,8:22
CDEC.Avengers,CDEC.Avengers,23,11,12,47.83%,15,8,22.22,23.65,50.57,1932,2203,754,42,34:07:00,37:33:00,30:59:00,6:34
Suicide Team,Suicide Team,23,11,12,47.83%,14,9,21.87,24.39,51.48,1974,2227,695,46,33:40:00,34:14:00,33:10:00,1:03
STARS e-Sports,STARS e-Sports,22,8,14,36.36%,8,14,22.95,28.14,49.09,2016,2242,873,45,37:58:00,43:25:00,34:51:00,8:34
Comanche,Comanche,22,9,13,40.91%,15,7,24.36,27.41,58.82,1900,2120,781,26,40:11:00,43:15:00,38:04:00,5:11
Elite Wolves,Elite Wolves,22,9,13,40.91%,12,10,21.77,26.5,49.41,1963,2234,819,48,37:37:00,41:13:00,35:08:00,6:05
,,22,12,10,54.55%,12,10,22.91,26.86,54.5,2036,2264,736,46,34:22:00,33:57:00,34:52:00,-00:54
TEAMMORIARTY,TEAMMORIARTY,22,9,13,40.91%,7,15,26.5,33.91,56.18,2002,2402,802,40,37:46:00,41:40:00,35:04:00,6:36
Team Leviathan,Team Leviathan,21,6,15,28.57%,14,7,24.29,29.76,53.57,1848,2106,881,32,39:15:00,33:11:00,41:41:00,#VALUE!
Team Doggie,Team Doggie,20,7,13,35.00%,12,8,26.3,25.35,62.95,1953,2248,756,43,36:48:00,43:17:00,33:19:00,9:57
TEAM EVER,TEAM EVER,20,7,13,35.00%,14,6,18.4,24.75,40.05,1887,2104,600,37,30:33:00,28:11:00,31:50:00,#VALUE!
Spartak Esports,Spartak Esports,20,8,12,40.00%,2,18,25.25,29,58,1917,2191,933,34,43:06:00,43:27:00,42:52:00,0:35
Fire Dragoon,Fire Dragoon,20,8,12,40.00%,11,9,23.5,25.9,52.25,1881,2125,741,41,35:33:00,39:43:00,32:47:00,6:55
Rock.Young,Rock.Young,19,11,8,57.89%,9,10,25.74,23.47,56.79,2049,2301,879,41,37:18:00,44:02:00,28:03:00,15:58
Kingdra,Kingdra,18,9,9,50.00%,13,5,26.33,27.83,58.44,2088,2282,750,42,37:06:00,40:46:00,33:27:00,7:18
5 Anchors No Captain,5 Anchors No Captain,18,5,13,27.78%,7,11,19.22,25.39,43.06,1799,2019,622,45,33:20:00,38:49:00,31:14:00,7:35
Prodota Gaming,Prodota Gaming,18,9,9,50.00%,12,6,25.28,23.5,56.5,2015,2294,745,28,35:17:00,34:02:00,36:31:00,#VALUE!
OverPower,OverPower,17,7,10,41.18%,5,12,22.94,27.65,48.06,1968,2128,732,31,34:29:00,35:11:00,34:00:00,1:10
Gorillaz-Pride,Gorillaz-Pride,17,5,12,29.41%,7,10,24.59,30.41,49.88,2044,2363,757,30,34:13:00,34:11:00,34:14:00,-00:02
FCDB Esports,FCDB Esports,17,4,13,23.53%,10,7,22,27.18,47.88,1866,2198,792,47,36:27:00,38:24:00,35:50:00,2:33
EHOME.immortal,EHOME.immortal,17,5,12,29.41%,9,8,23.94,24.76,56.82,1901,2173,788,50,37:17:00,33:42:00,38:47:00,-0.059027778
Team Red,Team Red,17,7,10,41.18%,6,11,18.94,25.29,43.18,1846,2042,694,39,33:21:00,31:52:00,34:22:00,#VALUE!
Cloud9,Cloud9,17,6,11,35.29%,11,6,20.47,23.65,47.94,1824,1964,958,40,44:55:00,52:00:00,41:03:00,10:56
Winning Gaming,Winning Gaming,16,7,9,43.75%,8,8,22.62,21.5,48.44,1963,2228,640,42,31:35:00,30:26:00,32:29:00,#VALUE!
Echo Gaming,Echo Gaming,16,4,12,25.00%,11,5,17.62,25.94,38.19,1866,2052,635,39,30:30:00,35:34:00,28:49:00,6:45
Swiss Quality Gaming,Swiss Quality Gaming,16,6,10,37.50%,3,13,31,29.94,71.81,1995,2381,766,40,37:38:00,42:28:00,34:45:00,7:42
Team Leviathan,Team Leviathan,16,6,10,37.50%,8,8,24.94,29.44,57.06,1941,2211,824,36,39:03:00,39:14:00,38:57:00,0:17
Rex Regum Qeon,Rex Regum Qeon,16,10,6,62.50%,9,7,29.38,22.81,70.25,2237,2451,912,39,40:10:00,33:59:00,50:29:00,#VALUE!
IDFC,IDFC,16,7,9,43.75%,7,9,26.31,24.56,60.75,2076,2327,732,37,33:44:00,29:30:00,37:02:00,#VALUE!
Iceberg,Iceberg,15,5,10,33.33%,3,12,21.13,25.2,44.87,1873,2084,729,31,33:19:00,32:52:00,33:33:00,-00:41
Team Random,Team Random,14,5,9,35.71%,7,7,20.79,25.43,50.07,2071,2290,928,36,39:37:00,40:38:00,39:03:00,1:35
Alter Ego,Alter Ego,14,7,7,50.00%,7,7,22.71,27,52.86,2006,2254,969,39,42:27:00,55:43:00,29:10:00,26:32:00
Winstrike,Winstrike,14,9,5,64.29%,4,10,32.43,29.14,76.93,2221,2432,1105,52,48:50:00,46:44:00,52:36:00,#VALUE!
No Creativity,No Creativity,13,5,8,38.46%,10,3,21.85,23.31,53,1899,2202,716,41,33:34:00,30:58:00,35:12:00,#VALUE!
VGJ Storm,VGJ Storm,12,7,5,58.33%,5,7,24.25,23.25,59.08,2165,2354,940,37,40:14:00,38:28:00,42:44:00,#VALUE!
Union Gaming Bolivia,Union Gaming Bolivia,12,5,7,41.67%,5,7,26.83,28.83,57.92,1969,2264,659,37,32:40:00,28:41:00,35:30:00,#VALUE!
Uncle Blink,Uncle Blink,12,7,5,58.33%,7,5,26.08,20.08,62.92,2008,2134,701,45,35:51:00,36:29:00,34:57:00,1:31
MAD KINGS-,MAD KINGS-,12,5,7,41.67%,11,1,23.25,21.75,50.92,1889,2101,912,51,42:04:00,40:07:00,43:28:00,#VALUE!
Ninjas in Pyjamas,Ninjas in Pyjamas,12,3,9,25.00%,6,6,26.75,32.67,59,1910,2076,886,35,41:19:00,52:08:00,37:43:00,14:24
anthrax,anthrax,11,3,8,27.27%,8,3,21.36,25.36,48,1833,2061,793,42,37:13:00,27:41:00,40:47:00,#VALUE!
CES,CES,11,3,8,27.27%,2,9,21.64,25,45,1838,2117,573,35,29:51:00,31:13:00,29:20:00,1:53
BlackSoul,BlackSoul,11,8,3,72.73%,6,5,30.45,22,74.36,2333,2468,910,32,38:20:00,34:05:00,49:39:00,#VALUE!
#NAME?,#NAME?,11,3,8,27.27%,4,7,23.18,25.27,56.55,1970,2172,981,37,43:58:00,41:20:00,44:57:00,#VALUE!
Infamous.Young,Infamous.Young,11,5,6,45.45%,6,5,24.27,31.91,55.82,1998,2266,923,37,41:37:00,40:34:00,42:30:00,#VALUE!
Rex Regum QEON,Rex Regum QEON,11,5,6,45.45%,7,4,33.36,30.82,75.09,2287,2455,866,31,41:33:00,39:53:00,42:57:00,#VALUE!
WarriorsGaming.Youth,WarriorsGaming.Youth,11,5,6,45.45%,6,5,27.36,27.09,60.27,2001,2236,762,38,37:03:00,39:43:00,34:50:00,4:53
PG.Barracx,PG.Barracx,10,4,6,40.00%,3,7,23,26.4,49.9,1930,2142,724,46,35:28:00,44:58:00,29:08:00,15:50
Wiggly Shrews,Wiggly Shrews,10,7,3,70.00%,4,6,32.3,28.5,74.8,2147,2317,812,38,40:34:00,44:58:00,30:20:00,14:37
HunkysFromZavod,HunkysFromZavod,10,4,6,40.00%,3,7,24.4,22.7,56.4,2050,2420,823,39,36:02:00,34:23:00,37:08:00,#VALUE!
5 Turtles,5 Turtles,10,2,8,20.00%,3,7,19.8,29.3,42.1,1783,1968,504,35,28:46:00,21:14,30:39:00,#VALUE!
VRFGC,VRFGC,10,2,8,20.00%,7,3,20.8,29.1,44.9,1779,2050,526,22,29:30:00,40:39:00,26:43:00,13:55
Starboyz,Starboyz,10,1,9,10.00%,8,2,16.8,28.8,38.4,1640,1928,732,42,36:56:00,47:18:00,35:47:00,11:31
VG.Sunrise,VG.Sunrise,10,0,10,0.00%,6,4,14.2,27.6,30.4,1642,1948,583,49,29:59:00,-,29:59:00,-
xXxXx,xXxXx,9,5,4,55.56%,3,6,31,22.89,67.22,2238,2416,744,46,35:58:00,37:20:00,34:15:00,3:05
iPlay Esports,iPlay Esports,9,4,5,44.44%,6,3,24.33,30.22,66.89,1922,2175,843,47,38:29:00,44:56:00,33:19:00,11:36
Entity Gaming,Entity Gaming,9,3,6,33.33%,4,5,21.11,30.89,47.67,1962,2159,841,33,37:33:00,55:13:00,28:43:00,26:30:00
MEGA-LADA E-sports,MEGA-LADA E-sports,9,6,3,66.67%,3,6,27.22,23.11,54.78,2132,2547,754,41,33:28:00,37:20:00,25:45:00,11:34
Team Taka,Team Taka,9,5,4,55.56%,7,2,31.33,28,71.56,2106,2455,967,41,41:58:00,36:54:00,48:18:00,#VALUE!
Clutch Gamers,Clutch Gamers,9,6,3,66.67%,1,8,27,24.67,61.78,2257,2484,957,47,37:54:00,40:37:00,32:28:00,8:09
Cool Beans,Cool Beans,9,1,8,11.11%,3,6,21.78,36.67,54.67,1852,2116,1231,44,48:24:00,1:42:19,41:39:00,1:00:39
Crescendo,Crescendo,9,2,7,22.22%,6,3,22,25.67,51.67,1785,2088,825,45,37:43:00,42:29:00,36:21:00,6:07
Danish Bears,Danish Bears,9,2,7,22.22%,7,2,28.22,31.67,58.11,2069,2188,863,38,41:11:00,29:54:00,44:25:00,#VALUE!
4 protect five,4 protect five,9,3,6,33.33%,4,5,18.78,25.22,40.78,1705,1960,788,54,39:45:00,47:31:00,35:52:00,11:38
Team Kazakhstan,Team Kazakhstan,9,1,8,11.11%,4,5,22.11,31.33,45,1926,2196,730,39,35:58:00,21:42,37:45:00,#VALUE!
FTD.a,FTD.a,9,3,6,33.33%,3,6,22.78,28.33,46.33,1887,2186,814,52,37:29:00,35:08:00,38:40:00,#VALUE!
Guess,Guess,8,3,5,37.50%,4,4,16.75,24.38,39.12,1805,2095,696,49,33:46:00,31:13:00,35:18:00,0
Unknown Team,Unknown Team,8,4,4,50.00%,5,3,23.5,24.62,56.62,1956,2200,1151,33,45:39:00,44:19:00,46:59:00,#VALUE!
Team Serbia,Team Serbia,8,1,7,12.50%,4,4,14.25,25,31.75,1756,1881,594,40,30:00:00,24:43:00,30:45:00,#VALUE!
Pacific Blue,Pacific Blue,8,5,3,62.50%,5,3,24.62,20.88,51,2306,2480,830,29,36:45:00,33:15:00,42:36:00,#VALUE!
Pandora E-sports,Pandora E-sports,8,3,5,37.50%,3,5,18.38,28.12,42.75,1923,2165,794,52,38:05:00,45:12:00,33:49:00,11:23
N1,N1,8,3,5,37.50%,0,8,21.12,25.62,45.38,1981,2111,890,43,37:35:00,39:11:00,36:37:00,2:33
Admiral Dota,Admiral Dota,8,4,4,50.00%,2,6,23.62,24.12,54.5,2134,2396,866,45,37:41:00,35:47:00,39:34:00,#VALUE!
SFT e-sports,SFT e-sports,8,3,5,37.50%,4,4,24,29.38,60.25,2090,2318,937,31,40:24:00,43:45:00,38:23:00,5:21
The Thundercats,The Thundercats,8,2,6,25.00%,3,5,19.38,28,41.75,1753,1963,544,45,29:44:00,32:40:00,28:46:00,3:54
ROZETKA.UAshki,ROZETKA.UAshki,8,2,6,25.00%,4,4,22.62,33.38,45.88,2112,2182,818,41,35:18:00,31:01:00,36:44:00,#VALUE!
Moogle,Moogle,8,2,6,25.00%,5,3,23.25,31.62,50.5,1814,2142,852,46,39:56:00,48:36:00,37:03:00,11:33
Big God,Big God,8,3,5,37.50%,6,2,20.25,24.38,52.12,1825,2001,642,44,34:36:00,32:19:00,35:58:00,#VALUE!
@__@,@__@,8,6,2,75.00%,3,5,27.25,20,66,2243,2503,870,39,38:23:00,36:33:00,43:54:00,#VALUE!
X-Gaming,X-Gaming,8,1,7,12.50%,7,1,18.75,27.62,45.38,1721,2047,652,28,34:30:00,35:11:00,34:25:00,0:46
Team Hellas,Team Hellas,8,8,0,100.00%,6,2,32,19,70.75,2365,2496,756,40,33:39:00,33:39:00,-,-
2Be.Dota2,2Be.Dota2,8,1,7,12.50%,1,7,18.5,28.38,35.25,1846,2119,728,38,33:50:00,45:31:00,32:10:00,13:21
Evil Corporation,Evil Corporation,8,2,6,25.00%,1,7,21,26.38,49.88,1821,2152,687,32,37:00:00,46:07:00,33:58:00,12:09
twitch.tv/noblewingz,twitch.tv/noblewingz,8,4,4,50.00%,5,3,21.38,35.12,47.25,1962,2272,907,55,41:08:00,48:38:00,33:38:00,15:00
Geek Fam,Geek Fam,8,3,5,37.50%,2,6,20.5,25.88,51.38,1826,2058,781,47,39:29:00,36:15:00,41:26:00,#VALUE!
The Prime NND,The Prime NND,7,1,6,14.29%,4,3,23.43,27.57,58.43,2107,2388,1096,50,46:25:00,38:41:00,47:42:00,#VALUE!
Thunder Awaken,Thunder Awaken,7,4,3,57.14%,3,4,19.86,19.43,44.86,1939,2169,531,35,25:40:00,28:53:00,21:23,7:30
Elite Wolves,Elite Wolves,7,2,5,28.57%,4,3,20.57,24.29,42.29,1881,2124,607,28,31:33:00,39:40:00,28:18:00,11:21
