,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Newbee.Young,Newbee.Young,169,91,78,53.85%,69,100,24.14,25.12,53.67,2052,2261,755,41,34:39:00,34:04:00,35:19:00,#VALUE!
Infamous,Infamous,162,71,91,43.83%,96,66,23.88,27.62,49.49,2090,2324,801,39,35:30:00,34:03:00,36:39:00,#VALUE!
HellRaisers,HellRaisers,158,78,80,49.37%,95,63,22.61,23.34,53.08,2119,2496,947,50,37:36:00,38:24:00,36:50:00,1:34
GangSquad,GangSquad,157,67,90,42.68%,79,78,24.69,27.7,56.29,1996,2244,761,34,36:39:00,36:03:00,37:06:00,#VALUE!
Team Spirit,Team Spirit,154,57,97,37.01%,84,70,19.63,23.89,46.55,1915,2351,789,36,33:36:00,34:49:00,32:54:00,1:55
Nigma,Nigma,145,81,64,55.86%,53,92,25.28,25.67,58.3,2027,2410,795,47,35:01:00,33:23:00,37:06:00,#VALUE!
Immortals,Immortals,141,66,75,46.81%,86,55,23.52,25.74,53.89,1991,2244,788,39,36:49:00,38:32:00,35:18:00,3:14
VGJ Storm,VGJ Storm,136,91,45,66.91%,77,59,27.96,23.69,63.73,2228,2462,906,48,37:54:00,36:29:00,40:46:00,#VALUE!
Winstrike Team,Winstrike Team,135,62,73,45.93%,57,78,22.77,24.37,54.5,2032,2427,870,43,35:33:00,37:08:00,34:13:00,2:55
WarriorsGaming.Unity,WarriorsGaming.Unity,134,74,60,55.22%,62,72,25.28,23.78,56.96,2153,2281,794,38,36:58:00,34:24:00,40:07:00,#VALUE!
Eclipse,Eclipse,130,77,53,59.23%,60,70,25.52,24.41,59.99,2050,2358,837,50,37:49:00,37:45:00,37:54:00,-00:08
mousesports,mousesports,129,56,73,43.41%,68,61,25.78,28.42,58.96,1994,2283,835,40,39:26:00,39:33:00,39:21:00,0:11
Gorillaz-Pride,Gorillaz-Pride,129,49,80,37.98%,63,66,23.2,28.6,51.1,2084,2339,819,36,35:13:00,34:09:00,35:53:00,#VALUE!
Faceless,Faceless,127,72,55,56.69%,70,57,24.9,24.17,57.57,2155,2247,877,34,39:59:00,39:02:00,41:14:00,#VALUE!
Vici Gaming Potential,Vici Gaming Potential,127,65,62,51.18%,80,47,23.94,19.69,54.08,1998,2239,782,38,36:27:00,36:36:00,36:19:00,0:16
Adroit,Adroit,126,68,58,53.97%,47,79,22.34,22.65,52.12,2153,2561,968,43,36:28:00,37:45:00,34:58:00,2:47
Team NP,Team NP,125,81,44,64.80%,50,75,25.06,18.5,57.39,2157,2303,913,41,39:39:00,37:48:00,43:04:00,#VALUE!
beastcoast,beastcoast,123,70,53,56.91%,47,76,23.54,29.77,51.67,2189,2604,912,41,34:50:00,36:07:00,33:09:00,2:58
RUSH B,RUSH B,120,61,59,50.83%,62,58,26.03,23.35,57.78,2034,2293,800,46,36:40:00,34:33:00,38:52:00,#VALUE!
Thunder Predator,Thunder Predator,119,61,58,51.26%,63,56,25.66,23.04,55.28,2141,2329,830,49,36:32:00,36:17:00,36:49:00,-00:31
Team Serenity,Team Serenity,117,52,65,44.44%,59,58,24.89,27.56,55.25,2093,2381,886,49,37:02:00,36:48:00,37:14:00,-00:26
Team Max,Team Max,116,60,56,51.72%,42,74,24.91,24.42,57.24,2016,2229,762,40,36:07:00,36:29:00,35:43:00,0:45
Team VGJ,Team VGJ,115,56,59,48.70%,50,65,25.18,24.24,58.72,2101,2304,892,39,39:18:00,41:32:00,37:11:00,4:21
Effect,Effect,115,58,57,50.43%,61,54,25.32,26.08,60.65,2008,2313,823,41,38:28:00,39:37:00,37:18:00,2:18
Winstrike,Winstrike,113,66,47,58.41%,50,63,28.98,28.03,65.95,2163,2377,881,49,38:47:00,38:28:00,39:14:00,-00:46
KG.Luminous,KG.Luminous,109,60,49,55.05%,43,66,23.79,21.94,56.68,2009,2248,696,37,33:19:00,34:48:00,31:29:00,3:18
Team Singularity,Team Singularity,107,39,68,36.45%,57,50,24.06,25.96,58.02,2089,2402,918,36,37:22:00,39:13:00,36:18:00,2:54
CAVALRY,CAVALRY,105,43,62,40.95%,63,42,24.14,25.84,52.61,2002,2207,808,39,37:08:00,38:58:00,35:51:00,3:07
Old but Gold,Old but Gold,104,49,55,47.12%,54,50,25.26,26.87,60.51,2071,2348,814,35,36:40:00,34:59:00,38:11:00,#VALUE!
Team Xolotl,Team Xolotl,104,33,71,31.73%,67,37,19.65,24.6,41.48,1883,2169,730,43,32:59:00,32:14:00,33:20:00,#VALUE!
Gambit Esports,Gambit Esports,104,37,67,35.58%,45,59,20.69,25.7,48.34,1985,2233,839,50,37:25:00,35:50:00,38:17:00,#VALUE!
The Pango,The Pango,102,54,48,52.94%,54,48,23.42,24.64,52.75,2071,2275,804,51,35:33:00,35:43:00,35:21:00,0:21
Elements Pro Gaming,Elements Pro Gaming,101,40,61,39.60%,51,50,24.68,26.56,55.86,1943,2159,739,43,36:42:00,39:29:00,34:52:00,4:36
Team EVOS,Team EVOS,99,40,59,40.40%,45,54,25.47,30.67,57.58,2089,2390,908,48,38:59:00,40:18:00,38:06:00,2:12
ViKin.gg,ViKin.gg,98,50,48,51.02%,58,40,23.6,23.62,54.55,2020,2467,835,39,34:07:00,35:40:00,32:31:00,3:08
Furia,Furia,96,38,58,39.58%,49,47,21.65,24.85,51.81,1937,2333,823,36,35:09:00,37:47:00,33:25:00,4:21
VGJ.Storm,VGJ.Storm,95,42,53,44.21%,62,33,21.69,25.06,48.88,1954,2232,786,36,35:30:00,36:49:00,34:28:00,2:21
Reality Rift,Reality Rift,95,43,52,45.26%,31,64,24.09,27.57,55.76,2040,2564,965,42,38:25:00,38:09:00,38:38:00,-00:29
