,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Rex Regum Qeon,Rex Regum Qeon,4,0,4,0.00%,3,1,9.25,32.25,18,1566,1640,603,41,30:23:00,-,30:23:00,-
NeXT E-sports,NeXT E-sports,4,2,2,50.00%,0,4,30.25,22,74.5,2239,2578,824,56,37:49:00,39:26:00,36:12:00,3:13
?,?,4,0,4,0.00%,2,2,15.5,30,25.25,1631,1770,474,21,27:37:00,-,27:37:00,-
Sponsor.Neolution,Sponsor.Neolution,4,0,4,0.00%,1,3,19.5,32,43,1774,1985,684,30,35:55:00,-,35:55:00,-
Backpacks Gaming,Backpacks Gaming,3,0,3,0.00%,1,2,23.33,33.67,59.33,1726,2025,559,36,35:32:00,-,35:32:00,-
Hashtag.ESports,Hashtag.ESports,3,0,3,0.00%,3,0,12.33,27.67,23.67,1856,1938,775,44,34:40:00,-,34:40:00,-
Team Sweden,Team Sweden,3,0,3,0.00%,0,3,23.33,32.33,55.67,1764,2000,679,41,35:57:00,-,35:57:00,-
BLUE PIKACHU,BLUE PIKACHU,3,1,2,33.33%,1,2,14.33,22.67,35,1918,1995,968,51,40:17:00,51:08:00,34:52:00,16:16
Team EVOS,Team EVOS,3,0,3,0.00%,2,1,17.33,31.33,39.67,1960,2017,974,38,41:04:00,-,41:04:00,-
Vendetta,Vendetta,3,0,3,0.00%,1,2,23,51.33,54.33,1682,2229,423,18,28:17:00,-,28:17:00,-
White Rabbit ~ newb,White Rabbit ~ newb,3,1,2,33.33%,1,2,21.67,34,52.67,1738,1884,852,37,38:10:00,1:03:23,25:33:00,37:49:00
CoM18Anji,CoM18Anji,3,1,2,33.33%,1,2,21,26.67,49.67,1862,2175,698,39,34:11:00,46:14:00,28:10:00,18:04
Hooked eSports,Hooked eSports,3,0,3,0.00%,3,0,9,21.33,17,1525,1647,440,30,23:49,-,23:49,-
SND Esports,SND Esports,3,2,1,66.67%,2,1,38.33,57.33,81.67,2001,2343,951,25,51:27:00,1:02:03,30:16:00,31:47:00
Entity Gaming,Entity Gaming,3,1,2,33.33%,1,2,21.33,28.67,53.33,2043,2194,707,37,32:43:00,38:28:00,29:51:00,8:37
Fire Dragoon,Fire Dragoon,3,1,2,33.33%,1,2,20,26.67,44.33,1891,2076,871,70,38:07:00,48:50:00,32:46:00,16:03
Deutschlando,Deutschlando,3,1,2,33.33%,1,2,22.67,32.67,60,1973,2111,721,56,35:50:00,42:47:00,32:21:00,10:25
Romania,Romania,3,0,3,0.00%,0,3,32,43.33,70,2061,2298,1070,40,47:07:00,-,47:07:00,-
Unchained Esports,Unchained Esports,3,0,3,0.00%,2,1,21.67,42.67,48,1857,2009,734,41,38:27:00,-,38:27:00,-
Team Netherlands,Team Netherlands,3,1,2,33.33%,3,0,29.33,30.67,65.33,1992,2203,715,42,36:54:00,48:14:00,31:14:00,16:59
Learn2Gank,Learn2Gank,2,0,2,0.00%,1,1,10.5,33,21,1552,1663,578,42,31:02:00,-,31:02:00,-
MEGA-LADA E-sports,MEGA-LADA E-sports,2,0,2,0.00%,1,1,16.5,33.5,33.5,1720,1936,627,32,33:54:00,-,33:54:00,-
Team Loyalty,Team Loyalty,2,0,2,0.00%,1,1,20.5,26.5,53.5,1885,2098,810,52,38:00:00,-,38:00:00,-
The Thundercats,The Thundercats,2,0,2,0.00%,1,1,11,35,26,1566,1679,548,41,26:25:00,-,26:25:00,-
wolf,wolf,2,0,2,0.00%,1,1,15,37.5,34.5,1684,1992,533,22,28:44:00,-,28:44:00,-
Nicest Most Positive Team,Nicest Most Positive Team,2,0,2,0.00%,1,1,10,22,25.5,1334,1446,182,14,15:09,-,15:09,-
Seventh Heaven,Seventh Heaven,2,1,1,50.00%,2,0,31.5,36,74.5,2294,2492,1046,46,44:19:00,44:35:00,44:04:00,0:31
Echo International Team,Echo International Team,2,0,2,0.00%,0,2,14.5,33,39,1704,1947,584,50,29:24:00,-,29:24:00,-
5 Turtles,5 Turtles,2,0,2,0.00%,1,1,19,35.5,40.5,1576,1738,374,29,27:23:00,-,27:23:00,-
Big God,Big God,2,0,2,0.00%,1,1,14,35.5,29.5,1698,1889,624,50,31:18:00,-,31:18:00,-
PLAY 4 FUN,PLAY 4 FUN,2,0,2,0.00%,0,2,22.5,33.5,44.5,1810,1942,587,31,31:55:00,-,31:55:00,-
Admiral Dota,Admiral Dota,2,0,2,0.00%,0,2,24,29.5,45,2018,2276,806,52,36:25:00,-,36:25:00,-
FINSTACK REBORN,FINSTACK REBORN,1,1,0,100.00%,0,1,36,11,79,2200,2339,595,49,34:29:00,34:29:00,-,-
N1,N1,1,1,0,100.00%,0,1,31,25,90,2510,2666,755,57,38:32:00,38:32:00,-,-
LUCCINI,LUCCINI,1,0,1,0.00%,0,1,36,28,69,2085,2347,947,30,44:49:00,-,44:49:00,-
Volta7,Volta7,1,0,1,0.00%,1,0,7,36,16,1362,1459,220,13,20:02,-,20:02,-
Volta7D2,Volta7D2,1,0,1,0.00%,1,0,6,28,14,1359,1453,371,38,24:43:00,-,24:43:00,-
PLAY 4 FUN,PLAY 4 FUN,1,0,1,0.00%,1,0,11,37,24,1720,1895,639,46,34:29:00,-,34:29:00,-
