,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
GangSquad,GangSquad,2,0,2,0.00%,1,1,23.5,30.5,59,1782,2190,768,17,40:04:00,-,40:04:00,-
Monsters,Monsters,2,0,2,0.00%,1,1,7,45.5,18.5,1235,1161,216,22,22:02,-,22:02,-
Dinosaurchestra,Dinosaurchestra,2,1,1,50.00%,0,2,24.5,12,40.5,2092,2072,496,61,25:01:00,25:25:00,24:38:00,0:47
Invincible Core,Invincible Core,2,1,1,50.00%,1,1,28.5,28,71.5,1995,2338,482,22,28:52:00,38:11:00,19:34,18:37
Falcon Team,Falcon Team,2,1,1,50.00%,2,0,21,42.5,35,1878,1952,540,40,32:25:00,40:31:00,24:20:00,16:11
XcutionEsport,XcutionEsport,2,1,1,50.00%,2,0,26,29,59,2004,2428,807,26,39:33:00,42:43:00,36:23:00,6:20
Dream Hackers,Dream Hackers,2,1,1,50.00%,1,1,34.5,27,84,1982,2360,688,44,40:09:00,33:30:00,46:48:00,#VALUE!
Leones,Leones,2,1,1,50.00%,0,2,22.5,14.5,60.5,2250,2014,426,24,24:26:00,23:35,25:18:00,#VALUE!
infamouze,infamouze,2,0,2,0.00%,1,1,12.5,25,27.5,1610,1600,578,58,30:40:00,-,30:40:00,-
90's Old Revenge,90's Old Revenge,2,0,2,0.00%,0,2,4,22.5,9.5,1198,1238,276,18,23:24,-,23:24,-
Beware.MCSFi,Beware.MCSFi,2,0,2,0.00%,1,1,21.5,41.5,46.5,1806,2149,759,37,42:54:00,-,42:54:00,-
DragonsW,DragonsW,2,1,1,50.00%,1,1,28.5,26.5,65,1832,2072,440,28,28:12:00,29:27:00,26:57:00,2:30
Vicious FAME,Vicious FAME,2,0,2,0.00%,1,1,14.5,31.5,33.5,1568,1591,664,26,38:18:00,-,38:18:00,-
New Beginning,New Beginning,2,0,2,0.00%,1,1,10.5,19.5,25.5,1542,1876,510,21,29:10:00,-,29:10:00,-
Skyville!,Skyville!,2,0,2,0.00%,1,1,34,44,68.5,2023,2492,738,30,41:48:00,-,41:48:00,-
SeasonGrizzly,SeasonGrizzly,2,1,1,50.00%,1,1,23.5,33,49.5,1930,2177,505,39,30:35:00,31:33:00,29:37:00,1:56
CRYPTEX,CRYPTEX,2,0,2,0.00%,1,1,32.5,36,73,1982,2153,1216,38,52:48:00,-,52:48:00,-
Zak,Zak,2,1,1,50.00%,1,1,39.5,39,101,1789,2332,416,16,33:16:00,45:08:00,21:25,23:43
See You Again,See You Again,2,0,2,0.00%,1,1,8.5,35,20.5,1337,1290,193,17,19:34,-,19:34,-
Team Sun Strike,Team Sun Strike,2,1,1,50.00%,1,1,20.5,14,40,1546,1770,370,34,26:24:00,27:05:00,25:43:00,1:22
VINCE TE IPSUM,VINCE TE IPSUM,2,0,2,0.00%,1,1,6.5,24.5,15.5,1438,1404,358,13,23:02,-,23:02,-
Divine Gaming,Divine Gaming,2,0,2,0.00%,1,1,9,34.5,19,1487,1490,450,20,29:31:00,-,29:31:00,-
THE MEEPOS,THE MEEPOS,1,0,1,0.00%,1,0,3,34,8,1117,1184,265,33,23:35,-,23:35,-
BalForces,BalForces,1,0,1,0.00%,0,1,33,67,74,1951,2564,642,19,45:08:00,-,45:08:00,-
Never Lost,Never Lost,1,0,1,0.00%,1,0,23,57,39,1774,1975,321,20,30:27:00,-,30:27:00,-
Notorious Thugs,Notorious Thugs,1,1,0,100.00%,0,1,54,62,112,2474,3020,1154,40,59:21:00,59:21:00,-,-
chuno peruano,chuno peruano,1,1,0,100.00%,1,0,25,13,54,2342,2382,540,34,27:53:00,27:53:00,-,-
O.S.OverShoot,O.S.OverShoot,1,0,1,0.00%,1,0,16,46,37,1541,1854,439,20,33:30:00,-,33:30:00,-
LSX Young,LSX Young,1,0,1,0.00%,1,0,26,49,39,1573,1932,506,28,32:59:00,-,32:59:00,-
StarGayzers,StarGayzers,1,0,1,0.00%,1,0,14,22,36,1891,2217,603,31,30:54:00,-,30:54:00,-
Season Grizzly,Season Grizzly,1,0,1,0.00%,1,0,4,28,11,948,1061,132,8,16:11,-,16:11,-
TORO GAMING,TORO GAMING,1,1,0,100.00%,1,0,34,15,71,2534,2921,947,31,38:16:00,38:16:00,-,-
Never Surrender,Never Surrender,1,0,1,0.00%,0,1,12,44,23,1335,1645,343,23,27:12:00,-,27:12:00,-
DeXT GAMING,DeXT GAMING,1,0,1,0.00%,0,1,20,36,44,1549,1902,285,20,28:41:00,-,28:41:00,-
Shitstains,Shitstains,1,0,1,0.00%,0,1,7,42,11,1356,1416,321,6,27:05:00,-,27:05:00,-
Team Feedr,Team Feedr,1,0,1,0.00%,0,1,18,37,37,1675,1982,734,59,42:43:00,-,42:43:00,-
TheLastMember,TheLastMember,1,0,1,0.00%,1,0,62,55,154,2204,2913,1021,23,59:21:00,-,59:21:00,-
MOBILE GIRL,MOBILE GIRL,1,0,1,0.00%,1,0,8,41,18,1504,1583,436,17,28:37:00,-,28:37:00,-
Team Destroyer Gaming,Team Destroyer Gaming,1,0,1,0.00%,1,0,3,19,2,1105,1295,210,12,16:46,-,16:46,-
Elite Wolves D2,Elite Wolves D2,1,0,1,0.00%,0,1,29,30,72,2000,2292,803,48,44:27:00,-,44:27:00,-
Not.Cuyey,Not.Cuyey,1,0,1,0.00%,0,1,37,36,96,2055,2556,631,22,40:31:00,-,40:31:00,-
A-B,A-B,1,0,1,0.00%,1,0,5,23,11,1382,1594,398,18,25:02:00,-,25:02:00,-
Press-Start,Press-Start,1,0,1,0.00%,0,1,11,24,27,1513,1644,445,44,27:04:00,-,27:04:00,-
AnoHana,AnoHana,1,0,1,0.00%,1,0,10,31,26,1544,1759,542,21,31:40:00,-,31:40:00,-
Chaos Knight,Chaos Knight,1,0,1,0.00%,1,0,12,69,23,1506,1811,193,5,23:07,-,23:07,-
s1 Lykos,s1 Lykos,1,0,1,0.00%,1,0,12,29,35,1692,1738,589,37,32:14:00,-,32:14:00,-
Legit,Legit,1,0,1,0.00%,1,0,5,30,7,1086,1154,216,15,19:17,-,19:17,-
Chaotic Neutral,Chaotic Neutral,1,0,1,0.00%,0,1,2,21,3,988,1088,183,7,17:23,-,17:23,-
"S.B,T","S.B,T",1,0,1,0.00%,1,0,14,36,25,1562,1609,480,21,28:56:00,-,28:56:00,-
CHNoodleBar,CHNoodleBar,1,0,1,0.00%,1,0,6,36,18,1270,1325,210,11,21:53,-,21:53,-
BraveSpirit,BraveSpirit,1,0,1,0.00%,1,0,6,36,13,1028,1004,152,10,22:58,-,22:58,-
School Gaming,School Gaming,1,1,0,100.00%,1,0,23,5,41,1928,1837,283,35,18:50,18:50,-,-
Wolves Army !,Wolves Army !,1,0,1,0.00%,0,1,8,36,11,1232,1280,276,14,22:24,-,22:24,-
Deity,Deity,1,1,0,100.00%,1,0,23,5,35,2240,2123,320,36,15:08,15:08,-,-
Infamous,Infamous,1,0,1,0.00%,0,1,5,20,8,1659,797,39,2,13:23,-,13:23,-
The Price is Reich,The Price is Reich,1,0,1,0.00%,1,0,22,47,43,1684,2218,710,29,41:14:00,-,41:14:00,-
Execration,Execration,1,0,1,0.00%,1,0,27,34,48,1955,2279,759,72,37:55:00,-,37:55:00,-
LilyBongo,LilyBongo,1,0,1,0.00%,1,0,5,35,8,1110,1219,302,12,25:25:00,-,25:25:00,-
EDISONBETA Y SUS FREES,EDISONBETA Y SUS FREES,1,0,1,0.00%,0,1,30,32,72,1667,2055,389,41,31:33:00,-,31:33:00,-
4 tangos y un mango,4 tangos y un mango,1,0,1,0.00%,1,0,19,41,40,1345,1563,240,11,24:43:00,-,24:43:00,-
Disco Inferno,Disco Inferno,1,0,1,0.00%,1,0,15,28,32,1737,1936,824,78,42:08:00,-,42:08:00,-
Team UniVerse,Team UniVerse,1,0,1,0.00%,0,1,10,26,16,1245,1382,304,29,25:26:00,-,25:26:00,-
Sacrifice,Sacrifice,1,0,1,0.00%,1,0,10,39,22,1414,1610,711,34,39:55:00,-,39:55:00,-
Lucky Strike,Lucky Strike,1,0,1,0.00%,0,1,5,23,10,996,1035,122,14,18:50,-,18:50,-
Team Force,Team Force,1,0,1,0.00%,1,0,4,10,8,1409,1543,317,10,20:13,-,20:13,-
KARMA eSportS,KARMA eSportS,1,0,1,0.00%,0,1,5,29,6,1265,1400,343,24,23:26,-,23:26,-
The Noobs Forever,The Noobs Forever,1,0,1,0.00%,1,0,3,27,3,997,1149,116,9,13:41,-,13:41,-
Powerful Peruvians,Powerful Peruvians,1,0,1,0.00%,0,1,14,40,33,1675,1867,550,22,36:45:00,-,36:45:00,-
Revolution E-sports,Revolution E-sports,1,1,0,100.00%,0,1,39,21,70,2363,2661,556,31,33:43:00,33:43:00,-,-
Happy Illusion,Happy Illusion,1,0,1,0.00%,1,0,13,46,24,1273,1414,314,9,29:45:00,-,29:45:00,-
CDEC.Avengers,CDEC.Avengers,1,0,1,0.00%,1,0,10,23,15,1501,1744,464,32,26:21:00,-,26:21:00,-
MRTA,MRTA,1,0,1,0.00%,0,1,13,25,26,1696,1975,504,51,27:53:00,-,27:53:00,-
UR DIVERGENT,UR DIVERGENT,1,0,1,0.00%,0,1,6,33,12,1500,1346,244,38,21:16,-,21:16,-
Ark Survivors,Ark Survivors,1,1,0,100.00%,0,1,45,18,101,2757,2905,602,29,30:31:00,30:31:00,-,-
ERVIN JAMES,ERVIN JAMES,1,0,1,0.00%,0,1,37,49,103,2133,2415,1140,21,51:43:00,-,51:43:00,-
DEN AND HIDDEN CAMS,DEN AND HIDDEN CAMS,1,0,1,0.00%,0,1,5,23,5,1072,1174,159,1,15:08,-,15:08,-
