,,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,GPM,XPM,Last Hits,Denies,Overall,In Wins,In Losses,Shift
Alliance,Alliance,369,205,164,55.56%,179,190,25.85,22.38,59.54,2169,2569,964,43,37:45:00,36:57:00,38:45:00,0
Vici Gaming,Vici Gaming,363,235,128,64.74%,226,137,25.38,20.75,60.34,2217,2592,953,51,36:20:00,35:15:00,38:21:00,0
Gambit Esports,Gambit Esports,361,213,148,59.00%,202,159,22.92,20.17,54.33,2212,2508,926,47,35:41:00,35:29:00,35:58:00,-00:29
EHOME,EHOME,327,171,156,52.29%,136,191,22.14,21.73,50.28,2141,2472,923,47,35:29:00,35:17:00,35:42:00,-00:25
Team Liquid,Team Liquid,318,185,133,58.18%,147,171,24.38,23.03,55.53,2168,2488,930,48,36:51:00,37:15:00,36:18:00,0:56
Royal Never Give Up,Royal Never Give Up,318,180,138,56.60%,163,155,22.57,21.76,54.47,2133,2503,899,55,35:30:00,34:42:00,36:32:00,0
Virtus.pro,Virtus.pro,308,190,118,61.69%,158,150,23.5,21.34,55.6,2184,2473,927,50,35:52:00,35:26:00,36:34:00,0
Ninjas in Pyjamas,Ninjas in Pyjamas,307,158,149,51.47%,171,136,22.85,22.79,52.79,2152,2425,966,46,37:58:00,38:55:00,36:58:00,1:56
Evil Geniuses,Evil Geniuses,306,200,106,65.36%,145,161,25.29,20.77,59.17,2201,2499,867,46,34:55:00,33:19:00,37:58:00,0
TNC Predator,TNC Predator,279,171,108,61.29%,157,122,23.74,21.54,56.07,2288,2587,1037,46,39:03:00,38:00:00,40:43:00,0
KEEN GAMING,KEEN GAMING,271,135,136,49.82%,170,101,24.38,23.56,55.76,2088,2362,798,49,34:13:00,33:29:00,34:57:00,0
Team Secret,Team Secret,262,193,69,73.66%,138,124,26.03,19.35,59.96,2274,2604,934,50,35:38:00,35:02:00,37:20:00,0
INVICTUS GAMING,INVICTUS GAMING,254,151,103,59.45%,128,126,25.07,22.4,56.55,2189,2602,940,46,36:09:00,35:42:00,36:48:00,#VALUE!
Team Aster,Team Aster,247,119,128,48.18%,111,136,20.76,20.98,49.78,2094,2463,964,41,36:57:00,37:18:00,36:38:00,0:39
PSG.LGD,PSG.LGD,243,157,86,64.61%,107,136,24.44,21.07,55.57,2225,2552,917,47,34:57:00,33:55:00,36:50:00,0
Natus Vincere,Natus Vincere,240,125,115,52.08%,126,114,23.08,21.76,54.58,2130,2448,906,42,37:02:00,34:56:00,39:20:00,0
Fnatic,Fnatic,216,145,71,67.13%,121,95,25.77,21.67,60.69,2253,2641,965,43,37:15:00,36:13:00,39:21:00,#VALUE!
Newbee,Newbee,210,88,122,41.90%,69,141,21.78,22.4,51.14,2107,2439,928,41,35:48:00,35:34:00,35:58:00,-00:24
OG,OG,203,129,74,63.55%,94,109,25.15,25.51,56.78,2169,2447,803,42,33:37:00,32:01:00,36:26:00,0
BOOM ID,BOOM ID,176,87,89,49.43%,91,85,23.85,23.82,52.6,2161,2505,944,46,37:31:00,38:17:00,36:46:00,1:30
Infamous Gaming,Infamous Gaming,171,85,86,49.71%,74,97,23.32,24.75,54.41,2110,2411,849,41,34:54:00,36:08:00,33:41:00,2:26
Mineski,Mineski,170,88,82,51.76%,94,76,22.83,23.02,52.09,2192,2400,922,55,36:44:00,36:34:00,36:54:00,-00:19
